Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year
2002-06-27,ODI,England,Opponent,44 runs,"Trent Bridge, Nottingham",2002
2003-01-09,ODI,Australia,Sri Lanka,79 runs,Sydney Cricket Ground,2003
2003-01-13,ODI,England,Sri Lanka,31 runs,Sydney Cricket Ground,2003
2003-01-15,ODI,Australia,Opponent,4 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2003
2003-01-17,ODI,England,Opponent,19 runs,Adelaide Oval,2003
2003-01-21,ODI,Australia,Opponent,9 wickets,Melbourne Cricket Ground,2003
2003-02-10,ODI,New Zealand,Sri Lanka,47 runs,"Goodyear Park, Bloemfontein",2003
2003-02-19,ODI,Canada,Sri Lanka,9 wickets,"Boland Bank Park, Paarl",2003
2003-02-24,ODI,Kenya,Opponent,53 runs,"Gymkhana Club Ground, Nairobi",2003
2003-02-28,ODI,West Indies,Sri Lanka,6 runs,"Newlands, Cape Town",2003
2003-03-03,ODI,South Africa,Tie,,"Kingsmead, Durban",2003
2003-03-07,ODI,Australia,Opponent,96 runs,"SuperSport Park, Centurion",2003
2003-03-10,ODI,India,Opponent,183 runs,"New Wanderers Stadium, Johannesburg",2003
2003-03-15,ODI,Zimbabwe,Sri Lanka,74 runs,"Buffalo Park, East London",2003
2003-03-18,ODI,Australia,Opponent,48 runs,"St George's Park, Port Elizabeth",2003
2003-04-04,ODI,Pakistan,Opponent,7 wickets,Sharjah Cricket Association Stadium,2003
2003-04-06,ODI,Kenya,Sri Lanka,129 runs,Sharjah Cricket Association Stadium,2003
2003-04-07,ODI,Zimbabwe,Opponent,4 wickets,Sharjah Cricket Association Stadium,2003
2003-05-10,ODI,Pakistan,Opponent,79 runs,Rangiri Dambulla International Stadium,2003
2003-05-19,ODI,New Zealand,Opponent,9 runs,Rangiri Dambulla International Stadium,2003
2003-06-07,ODI,West Indies,Sri Lanka,55 runs,"Kensington Oval, Bridgetown, Barbados",2003
2003-06-11,ODI,West Indies,Opponent,6 wickets,"Arnos Vale Ground, Kingstown, St Vincent",2003
2003-11-18,ODI,England,Sri Lanka,10 wickets,Rangiri Dambulla International Stadium,2003
2003-12-18,Test,England,Sri Lanka,215 runs,"Sinhalese Sports Club Ground, Colombo",2003
2004-02-20,ODI,Australia,Opponent,84 runs,Rangiri Dambulla International Stadium,2004
2004-02-22,ODI,Australia,Sri Lanka,1 runs,Rangiri Dambulla International Stadium,2004
2004-02-27,ODI,Australia,Opponent,40 runs,R.Premadasa Stadium,2004
2004-03-08,Test,Australia,Opponent,197 runs,Galle International Stadium,2004
2004-04-20,ODI,Zimbabwe,Sri Lanka,12 runs,Queens Sports Club,2004
2004-04-27,ODI,Zimbabwe,Sri Lanka,72 runs,Harare Sports Club,2004
2004-07-21,ODI,Pakistan,Sri Lanka,7 wickets,R.Premadasa Stadium,2004
2004-07-23,ODI,Bangladesh,Sri Lanka,10 wickets,R.Premadasa Stadium,2004
2004-07-27,ODI,India,Opponent,4 runs,R.Premadasa Stadium,2004
2004-08-01,ODI,India,Sri Lanka,25 runs,R.Premadasa Stadium,2004
2004-08-28,ODI,South Africa,Sri Lanka,7 wickets,Rangiri Dambulla International Stadium,2004
2004-08-31,ODI,South Africa,Sri Lanka,49 runs,Sinhalese Sports Club,2004
2004-09-14,ODI,Zimbabwe,Sri Lanka,4 wickets,Kennington Oval,2004
2004-09-17,ODI,England,Opponent,49 runs,The Rose Bowl,2004
2004-10-06,ODI,Pakistan,Opponent,8 wickets,National Stadium,2004
2004-10-09,ODI,Zimbabwe,Sri Lanka,7 wickets,Rawalpindi Cricket Stadium,2004
2004-10-16,ODI,Pakistan,Sri Lanka,119 runs,Gaddafi Stadium,2004
2005-04-11,Test,New Zealand,Opponent,38 runs,Basin Reserve,2005
2005-08-02,ODI,West Indies,Sri Lanka,50 runs,Rangiri Dambulla International Stadium,2005
2005-08-06,ODI,West Indies,Opponent,33 runs,"R.Premadasa Stadium, Khettarama",2005
2005-08-31,ODI,Bangladesh,Sri Lanka,88 runs,Sinhalese Sports Club Ground,2005
2005-09-12,Test,Bangladesh,Sri Lanka,96 runs,R.Premadasa Stadium,2005
2005-09-20,Test,Bangladesh,Sri Lanka,69 runs,P Sara Oval,2005
2005-10-25,ODI,India,Opponent,152 runs,Vidarbha C.A. Ground,2005
2005-10-28,ODI,India,Opponent,8 wickets,"Punjab Cricket Association IS Bindra Stadium, Mohali",2005
2005-11-03,ODI,India,Opponent,4 wickets,Nehru Stadium,2005
2005-11-06,ODI,India,Sri Lanka,5 wickets,"Sardar Patel (Gujarat) Stadium, Motera",2005
2005-11-09,ODI,India,Opponent,7 wickets,Madhavrao Scindia Cricket Ground,2005
2005-11-12,ODI,India,Opponent,5 wickets,Reliance Stadium,2005
2005-12-18,Test,India,Opponent,259 runs,Sardar Patel Stadium,2005
2005-12-31,ODI,New Zealand,Opponent,7 wickets,John Davies Oval,2005
2006-01-03,ODI,New Zealand,Opponent,5 wickets,Jade Stadium,2006
2006-01-06,ODI,New Zealand,Opponent,21 runs,Westpac Stadium,2006
2006-01-17,ODI,South Africa,Sri Lanka,94 runs,"Brisbane Cricket Ground, Woolloongabba",2006
2006-01-22,ODI,Australia,Sri Lanka,51 runs,Sydney Cricket Ground,2006
2006-01-24,ODI,South Africa,Opponent,9 runs,Adelaide Oval,2006
2006-01-26,ODI,Australia,Opponent,5 wickets,Adelaide Oval,2006
2006-01-29,ODI,Australia,Opponent,6 wickets,Western Australia Cricket Association Ground,2006
2006-01-31,ODI,South Africa,Opponent,5 wickets,Western Australia Cricket Association Ground,2006
2006-02-07,ODI,South Africa,Sri Lanka,76 runs,Bellerive Oval,2006
2006-02-10,ODI,Australia,Sri Lanka,22 runs,Adelaide Oval,2006
2006-02-12,ODI,Australia,Opponent,167 runs,Sydney Cricket Ground,2006
2006-02-14,ODI,Australia,Opponent,9 wickets,"Brisbane Cricket Ground, Woolloongabba",2006
2006-02-20,ODI,Bangladesh,Sri Lanka,5 wickets,Shaheed Chandu Stadium,2006
2006-02-22,ODI,Bangladesh,Opponent,4 wickets,Shaheed Chandu Stadium,2006
2006-02-25,ODI,Bangladesh,Sri Lanka,78 runs,Chittagong Divisional Stadium,2006
2006-02-28,Test,Bangladesh,Sri Lanka,8 wickets,Zahur Ahmed Chowdhury Stadium,2006
2006-03-08,Test,Bangladesh,Sri Lanka,10 wickets,Shaheed Chandu Stadium,2006
2006-03-17,ODI,Pakistan,No Result,,R Premadasa Stadium,2006
2006-03-19,ODI,Pakistan,Opponent,4 wickets,R Premadasa Stadium,2006
2006-03-22,ODI,Pakistan,Opponent,4 wickets,Sinhalese Sports Club Ground,2006
2006-04-03,Test,Pakistan,Opponent,8 wickets,Asgiriya Stadium,2006
2006-05-11,Test,England,Draw,,Lord's,2006
2006-05-25,Test,England,Opponent,6 wickets,Edgbaston,2006
2006-06-02,Test,England,Sri Lanka,134 runs,Trent Bridge,2006
2006-06-15,T20,England,Sri Lanka,2 runs,The Rose Bowl,2006
2006-06-17,ODI,England,Sri Lanka,20 runs,Lord's,2006
2006-06-20,ODI,England,Sri Lanka,46 runs,Kennington Oval,2006
2006-06-24,ODI,England,Sri Lanka,8 wickets,Riverside Ground,2006
2006-06-28,ODI,England,Sri Lanka,33 runs,Old Trafford,2006
2006-07-01,ODI,England,Sri Lanka,8 wickets,Headingley,2006
2006-07-27,Test,South Africa,Sri Lanka,153 runs,Sinhalese Sports Club Ground,2006
2006-08-04,Test,South Africa,Sri Lanka,1 wickets,P Sara Oval,2006
2006-08-18,ODI,India,No Result,,Sinhalese Sports Club Ground,2006
2006-10-07,ODI,Bangladesh,Sri Lanka,37 runs,"Punjab Cricket Association Stadium, Mohali",2006
2006-10-10,ODI,Zimbabwe,Sri Lanka,144 runs,"Sardar Patel Stadium, Motera",2006
2006-10-14,ODI,West Indies,Sri Lanka,9 wickets,Brabourne Stadium,2006
2006-10-17,ODI,Pakistan,Opponent,4 wickets,Sawai Mansingh Stadium,2006
2006-10-20,ODI,New Zealand,Sri Lanka,7 wickets,Brabourne Stadium,2006
2006-10-24,ODI,South Africa,Opponent,78 runs,"Sardar Patel Stadium, Motera",2006
2006-12-07,Test,New Zealand,Opponent,5 wickets,AMI Stadium,2006
2006-12-15,Test,New Zealand,Sri Lanka,217 runs,Basin Reserve,2006
2006-12-22,T20,New Zealand,Sri Lanka,18 runs,Westpac Stadium,2006
2006-12-26,T20,New Zealand,Opponent,5 wickets,Eden Park,2006
2006-12-28,ODI,New Zealand,Sri Lanka,7 wickets,McLean Park,2006
2007-01-02,ODI,New Zealand,Opponent,4 wickets,Jade Stadium,2007
2007-01-06,ODI,New Zealand,Sri Lanka,189 runs,Eden Park,2007
2007-02-08,ODI,India,No Result,,Eden Gardens,2007
2007-02-11,ODI,India,Sri Lanka,5 runs,Madhavrao Scindia Cricket Ground,2007
2007-02-14,ODI,India,Opponent,5 wickets,"Nehru Stadium, Fatorda",2007
2007-02-17,ODI,India,Opponent,7 wickets,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,2007
2007-03-15,ODI,Bermuda,Sri Lanka,243 runs,"Queen's Park Oval, Port of Spain",2007
2007-03-21,ODI,Bangladesh,Sri Lanka,198 runs,"Queen's Park Oval, Port of Spain",2007
2007-03-23,ODI,India,Sri Lanka,69 runs,"Queen's Park Oval, Port of Spain",2007
2007-03-28,ODI,South Africa,Opponent,1 wickets,Providence Stadium,2007
2007-04-01,ODI,West Indies,Sri Lanka,113 runs,Providence Stadium,2007
2007-04-04,ODI,England,Sri Lanka,2 runs,"Sir Vivian Richards Stadium, North Sound",2007
2007-04-12,ODI,New Zealand,Sri Lanka,6 wickets,"National Cricket Stadium, St George's",2007
2007-04-16,ODI,Australia,Opponent,7 wickets,"National Cricket Stadium, St George's",2007
2007-04-18,ODI,Ireland,Sri Lanka,8 wickets,"National Cricket Stadium, St George's",2007
2007-04-24,ODI,New Zealand,Sri Lanka,81 runs,"Sabina Park, Kingston",2007
2007-04-28,ODI,Australia,Opponent,53 runs,"Kensington Oval, Bridgetown",2007
2007-06-25,Test,Bangladesh,Sri Lanka,234 runs,Sinhalese Sports Club Ground,2007
2007-07-03,Test,Bangladesh,Sri Lanka,90 runs,P Sara Oval,2007
2007-07-11,Test,Bangladesh,Sri Lanka,193 runs,Asgiriya Stadium,2007
2007-07-20,ODI,Bangladesh,Sri Lanka,70 runs,P Saravanamuttu Stadium,2007
2007-07-23,ODI,Bangladesh,Sri Lanka,5 wickets,R Premadasa Stadium,2007
2007-07-25,ODI,Bangladesh,Sri Lanka,39 runs,R Premadasa Stadium,2007
2007-09-14,T20,Kenya,Sri Lanka,172 runs,New Wanderers Stadium,2007
2007-09-15,T20,New Zealand,Sri Lanka,7 wickets,New Wanderers Stadium,2007
2007-09-17,T20,Pakistan,Opponent,33 runs,New Wanderers Stadium,2007
2007-09-18,T20,Bangladesh,Sri Lanka,64 runs,New Wanderers Stadium,2007
2007-09-20,T20,Australia,Opponent,10 wickets,Newlands,2007
2007-10-01,ODI,England,Sri Lanka,119 runs,Rangiri Dambulla International Stadium,2007
2007-10-04,ODI,England,Opponent,65 runs,Rangiri Dambulla International Stadium,2007
2007-10-10,ODI,England,Opponent,5 wickets,R Premadasa Stadium,2007
2007-10-13,ODI,England,Sri Lanka,107 runs,R Premadasa Stadium,2007
2007-11-08,Test,Australia,Opponent,40 runs,"Brisbane Cricket Ground, Woolloongabba",2007
2007-11-16,Test,Australia,Opponent,96 runs,Bellerive Oval,2007
2007-12-01,Test,England,Sri Lanka,88 runs,Asgiriya Stadium,2007
2007-12-09,Test,England,Draw,,Sinhalese Sports Club Ground,2007
2007-12-18,Test,England,Draw,,Galle International Stadium,2007
